Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2308,23,0,MADHYA PRADESH,Total,All ages,60348023,31443652,28904371,28755460,11771378,16984082,31592563,19672274,11920289,1470687,747050,723637,10199261,5856136,4343125,8426081,5214064,3212017,4733325,3151625,1581700,2831003,1963617,867386,1918204,1336883,581321,6912,5607,1305,69071,62109,6962,1931049,1331211,599838,6970,3972,2998,2001
C2308,24,0,GUJARAT,Total,All ages,50671017,26385577,24285440,20843267,8552304,12290963,29827750,17833273,11994477,286886,168530,118356,8084263,4576820,3507443,8076854,4557086,3519768,4423384,2833064,1590320,4235270,2697364,1537906,2409406,1492908,916498,17477,13673,3804,407351,293339,114012,1875741,1192415,683326,11118,8074,3044,2001
C2308,25,0,DAMAN & DIU,Total,All ages,158204,92512,65692,50604,21520,29084,107600,70992,36608,443,302,141,21565,12399,9166,27208,16449,10759,20664,14052,6612,15549,11627,3922,14280,10364,3916,58,43,15,1608,1270,338,6209,4474,1735,16,12,4,2001
C2308,26,0,DADRA & NAGAR HAVELI,Total,All ages,220490,121666,98824,116586,49517,67069,103904,72149,31755,1228,880,348,26108,16321,9787,25077,16787,8290,15408,11124,4284,15159,11658,3501,10344,7630,2714,122,97,25,2544,2094,450,7896,5545,2351,18,13,5,2001
C2308,27,0,MAHARASHTRA,Total,All ages,96878627,50400596,46478031,32912684,13215633,19697051,63965943,37184963,26780980,1261736,718887,542849,16071905,8673106,7398799,16278061,8563920,7714141,9535895,5713721,3822174,10487706,6674318,3813388,4964518,3250832,1713686,15050,10325,4725,464379,403659,60720,4886347,3175958,1710389,346,237,109,2001
C2308,28,0,ANDHRA PRADESH,Total,All ages,76210007,38527413,37682594,36275684,15082625,21193059,39934323,23444788,16489535,1491086,838354,652732,9808301,5253668,4554633,12365169,6789316,5575853,4086083,2422208,1663875,5756834,3659857,2096977,3163264,2065491,1097773,44127,34006,10121,389404,346447,42957,2826363,2032949,793414,3692,2492,1200,2001
C2308,29,0,KARNATAKA,Total,All ages,52850562,26898918,25951644,22415600,9237707,13177893,30434962,17661211,12773751,538542,318906,219636,7676809,4205270,3471539,8469455,4606498,3862957,3815098,2239919,1575179,5170384,3083899,2086485,2051687,1301965,749722,69039,54661,14378,416951,327689,89262,2226959,1522376,704583,38,28,10,2001
C2308,30,0,GOA,Total,All ages,1347668,687248,660420,362106,146216,215890,985562,541032,444530,18010,9796,8214,188906,97451,91455,193669,103532,90137,159258,88969,70289,154775,88654,66121,158096,86693,71403,469,255,214,14075,11713,2362,98297,53966,44331,7,3,4,2001
C2308,32,0,KERALA,Total,All ages,31841374,15468614,16372760,6355686,2715012,3640674,25485688,12753602,12732086,285154,136951,148203,4931086,2408299,2522787,6055241,3098641,2956600,6034912,3088153,2946759,4531201,2248934,2282267,1565787,680945,884842,50052,16129,33923,588404,375193,213211,1443049,699841,743208,802,516,286,2001
C2308,33,0,TAMIL NADU,Total,All ages,62405679,31400909,31004770,21881134,8591247,13289887,40524545,22809662,17714883,4184273,2372243,1812030,6492687,3432035,3060652,11652060,6365777,5286283,6967676,3793706,3173970,6005920,3626919,2379001,2549494,1416016,1133478,36055,27213,8842,438918,383604,55314,2196698,1391600,805098,764,549,215,2001
C2308,34,0,PONDICHERRY,Total,All ages,974345,486961,487384,277978,108203,169775,696367,378758,317609,10668,6038,4630,96631,48838,47793,182684,90538,92146,141966,74858,67108,125899,73213,52686,54479,29288,25191,1219,835,384,14451,11628,2823,68364,43519,24845,6,3,3,2001
C2308,1,0,JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,33609,19744,13865,2011
C2308,2,0,HIMACHAL PRADESH,Total,All ages,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,130023,64537,65486,611475,326058,285417,1162995,576764,586231,826611,452919,373692,1127997,666498,461499,662457,368592,293865,8519,4077,4442,53413,37213,16200,446609,251164,195445,9637,4768,4869,2011
C2308,3,0,PUNJAB,Total,All ages,27743338,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,566332,299936,266396,2227684,1273936,953748,4288200,2273540,2014660,3066305,1747063,1319242,4186373,2472299,1714074,2310511,1313943,996568,24287,11117,13170,234365,147801,86564,1760846,873776,887070,42234,22645,19589,2011
C2308,4,0,CHANDIGARH,Total,All ages,1055450,580663,474787,250012,115317,134695,805438,465346,340092,11254,5586,5668,90869,51211,39658,130243,73645,56598,111879,67964,43915,142206,88021,54185,107599,63200,44399,1506,510,996,13801,9660,4141,194453,104748,89705,1628,801,827,2011
C2308,5,0,UTTARAKHAND,Total,All ages,10086292,5137773,4948519,3205339,1274065,1931274,6880953,3863708,3017245,145906,72896,73010,1034583,554430,480153,1550574,803056,747518,1406871,806770,600101,1019490,627977,391513,755008,444663,310345,4816,3102,1714,36172,30072,6100,910288,512068,398220,17245,8674,8571,2011
C2308,6,0,HARYANA,Total,All ages,25351462,13494734,11856728,8752474,3700667,5051807,16598988,9794067,6804921,395890,212259,183631,2473145,1403012,1070133,3772022,2075334,1696688,2705282,1557670,1147612,3225936,2064923,1161013,1892113,1199855,692258,30614,17774,12840,195115,143883,51232,1877085,1102809,774276,31786,16548,15238,2011
C2308,7,0,DELHI,Total,All ages,16787941,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,453455,239952,213503,1458061,796975,661086,2230894,1197622,1033272,1931411,1099958,831453,2186314,1318133,868181,1598435,930296,668139,12538,6430,6108,94586,61852,32734,2757844,1535972,1221872,14229,7666,6563,2011
C2308,8,0,RAJASTHAN,Total,All ages,68548437,35550997,32997440,30273155,11862585,18410570,38275282,23688412,14586870,1806164,1084848,721316,8083827,4423518,3660309,10524424,6143552,4380872,7319223,4788350,2530873,4610185,3168905,1441280,2515863,1752886,762977,7522,4801,2721,164634,129531,35103,3063282,2086247,977035,180158,105774,74384,2011
C2308,9,0,UTTAR PRADESH,Total,All ages,199812341,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,5381466,3219206,2162260,21424480,11763367,9661113,27798792,15505178,12293614,23122728,14276668,8846060,15137315,9748121,5389194,10807005,6820583,3986422,135958,73327,62631,189869,167522,22347,9919838,6378138,3541700,480104,282854,197250,2011
C2308,10,0,BIHAR,Total,All ages,104099452,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,3025999,1748926,1277073,13701980,7308358,6393622,13154969,7625383,5529586,7969599,4930890,3038709,7266128,4785058,2481070,3839395,2584078,1255317,93051,58956,34095,35466,30839,4627,3061676,2326092,735584,356290,209443,146847,2011
C2308,11,0,SIKKIM,Total,All ages,610577,323070,287507,165625,71801,93824,444952,251269,193683,17628,10158,7470,116100,66658,49442,115601,62664,52937,69545,37520,32025,53268,31220,22048,36122,20910,15212,155,103,52,1633,1187,446,32669,19290,13379,2231,1559,672,2011
C2308,12,0,ARUNACHAL PRADESH,Total,All ages,1383727,713912,669815,617722,274044,343678,766005,439868,326137,21651,12529,9122,164976,88788,76188,189369,102518,86851,145848,82535,63313,109304,65757,43547,74205,46020,28185,778,606,172,4394,3573,821,53606,36430,17176,1874,1112,762,2011
C2308,14,0,MANIPUR,Total,All ages,2855794,1438586,1417208,947318,398728,548590,1908476,1039858,868618,88391,47433,40958,243566,123662,119904,326953,164889,162064,457032,251129,205903,330216,185952,144264,224577,125578,98999,605,452,153,7971,3662,4309,225620,135082,90538,3545,2019,1526,2011
C2308,15,0,MIZORAM,Total,All ages,1097206,555339,541867,249031,116810,132221,848175,438529,409646,13469,6288,7181,215865,105262,110603,207450,108434,99016,201482,104978,96504,88153,46235,41918,69069,36061,33008,192,103,89,1862,1111,751,49621,29527,20094,1012,530,482,2011
C2308,16,0,TRIPURA,Total,All ages,3673917,1874376,1799541,869134,373007,496127,2804783,1501369,1303414,160715,74925,85790,725461,363853,361608,698656,363404,335252,592396,320040,272356,200829,117515,83314,273295,163371,109924,414,320,94,5977,4781,1196,137812,88621,49191,9228,4539,4689,2011
C2308,17,0,MEGHALAYA,Total,All ages,2966889,1491832,1475057,1181884,577953,603931,1785005,913879,871126,78467,41109,37358,609064,311818,297246,412929,203761,209168,297897,151272,146625,160063,86803,73260,126576,67422,59154,194,130,64,3477,2189,1288,90519,46311,44208,5819,3064,2755,2011
C2308,18,0,ASSAM,Total,All ages,31205576,15939443,15266133,12027599,5370804,6656795,19177977,10568639,8609338,920663,507614,413049,4550439,2469904,2080535,4383390,2378849,2004541,4285011,2248173,2036838,1445515,802772,642743,2507238,1468893,1038345,3683,3106,577,36671,30143,6528,1011345,639241,372104,34022,19944,14078,2011
C2308,19,0,WEST BENGAL,Total,All ages,91276115,46809027,44467088,29737834,12990217,16747617,61538281,33818810,27719471,1963759,1048966,914793,15902612,8437465,7465147,14954591,7897027,7057564,12474301,6684464,5789837,5430854,3151360,2279494,5599953,3253159,2346794,20127,15236,4891,138525,120335,18190,4827817,3088673,1739144,225742,122125,103617,2011
